id,customer_id,subject,body
1,386,Menu question,Do you offer a catering menu for larger groups?
2,139,Order issue,Order #98931 arrived but half the bag was empty.
3,318,Order question,"Sunita here, order #08501 still hasn't updated in the app."
4,197,Order issue,Two items from order #57905 were swapped with another order I think.
5,188,Order issue,Order #28183 shows delivered but the driver never rang the bell.
6,71,Refund,"Full name is Sunita, born 14/03/1988, postcode 3817 XY if you need it for the refund form."
7,298,Refund,"Send the refund to leila.zhou@outlook.com, that's my usual account for everything."
8,181,General question,Do you offer any discounts for students?
9,460,Order question,"This is Qiang again, following up on #86401 from yesterday."
10,191,Wrong item,I ordered two of the same thing in #57788 and got two different items.
11,425,Missing item,Order #17884 was missing the side salad I paid extra for.
12,232,Opening hours,Are you closed on Sundays or just certain hours?
13,318,Refund,"Refund please for order #51371, duplicate charge on my card statement."
14,42,Opening hours,Are you open on public holidays?
15,201,Opening hours,Are you closed on Sundays or just certain hours?
16,460,Wrong item,The ham & cheese jaffle in order #41124 isn't what's on the receipt.
17,58,Missing drink,Order #27238 came without the iced coffee.
18,488,Cold food,The pulled jackfruit jaffle in order #04682 arrived completely cold.
19,243,Order issue,My order #56704 is showing as delivered but I never got it.
20,97,Opening hours,What are the holiday opening hours this year?
21,33,Missing item,Order #03856 was missing the side salad I paid extra for.
22,297,Feedback,"Really enjoyed the banana nutella jaffle, will be ordering again soon."
23,336,Missing item,Sauce sachet was missing from order #57988 again.
24,228,Opening hours,What are the holiday opening hours this year?
25,235,Refund,Can I get store credit instead of a refund for #49242?
26,405,Refund,Is there a time limit on requesting refunds after delivery?
27,134,Cold food,The ham & cheese jaffle in order #75402 arrived completely cold.
28,181,Feedback,"Delivery was fast today, really appreciated it."
29,146,Refund,"Refund please for order #72928, duplicate charge on my card statement."
30,147,Cold food,Order #22223 took so long the food was stone cold.
31,60,App issue,Can't seem to apply my discount code at checkout.
32,22,Order issue,Order #59274 shows delivered but the driver never rang the bell.
33,190,Refund,"You can transfer to NL23ABNA5525782841, spaced out the way it's printed on my card."
34,208,Allergen question,"I'm coeliac, which items on the menu are safe for me?"
35,477,Allergen question,"Is the bread used for the toasties gluten free, or just the filling option?"
36,256,Delivery area,What's the delivery radius from the store?
37,394,Missing item,No napkins or cutlery came with order #27520.
38,497,Refund,"Refund the money to iban NL88RABO4749297517 please, under the name Zeynep."
39,348,Cold food,The apple cinnamon jaffle in order #14069 arrived completely cold.
40,431,Opening hours,Is there a lunch break when the kitchen is closed?
41,113,Refund,"Requesting a refund, the vegan chili jaffle in #51509 was inedible."
42,329,Allergen question,Does the menu clearly mark which items are gluten free?
43,100,Wrong item,Received a different toastie than what I ordered in #98343.
44,12,Refund,"Refund for order #18718 please, the box arrived empty."
45,202,General question,Does 030 123 4567 also handle catering enquiries?
46,100,Order issue,My order #75998 is showing as delivered but I never got it.
47,484,Opening hours,Is the kitchen open past 9pm on weekdays?
48,29,Delivery area,Is postcode 3572 XG within range for delivery?
49,466,Opening hours,Do you close earlier on a Saturday evening?
50,185,Refund,Requesting a refund since order #62656 arrived completely cold.
51,191,Damaged order,The cheese & tomato jaffle in order #45547 was squashed flat.
52,448,Account update,"Can you update my delivery address to Molenweg 23d, 6742 ZX Den Haag?"
53,374,General question,Can large orders be placed a day in advance?
54,459,Refund,"Please refund to NL62 ABNA 2347 8519 61, I'm Jing and live at Prinsengracht 45, Groningen."
55,291,Delivery area,Curious if postcode 3531 HK is in your delivery zone.
56,387,General question,Do you offer any discounts for students?
57,469,Opening hours,Do opening hours change during the summer?
58,71,Allergen question,"I need to avoid sesame entirely, which items should I skip?"
59,103,Order issue,Order #26487 only had one of the two items I ordered.
60,22,Refund,"Refund requested, order #49478 was cancelled by the store itself."
61,379,Refund,"I'd like a refund, order #73002 was the wrong size entirely."
62,135,Menu question,Is the banana nutella jaffle spicy or mild by default?
63,490,Delivery area,Does postcode 3512 CT fall within your delivery zone?
64,328,Order question,"Ifeoma checking in about order #14627, any update?"
65,465,Refund,Can you refund the delivery fee for order #30147? It was over an hour late.
66,497,Order issue,The app shows order #19597 as cancelled but I was still charged.
67,290,Refund,Refund for #64715 hasn't shown up on my statement yet.
68,263,Refund,"I was charged twice for order #90429, please refund the duplicate."
69,30,Missing item,The extra cheese I paid for on order #25725 wasn't there.
70,84,Allergen question,Is the cheese used lactose free or regular?
71,28,Order issue,Order #45650 only had one of the two items I ordered.
