id,order_id,stars,body
1,545,2,"Underwhelming, probably won't order from here again."
2,356,2,"Not impressed, expected more given the reviews."
3,634,4,"Really nice, minor complaint about the packaging being hard to open."
4,894,2,the apple cinnamon jaffle just wasn't very good this time round
5,963,4,"Didnt think it would be this good, pleasantly surprised."
6,450,4,"great taste overall, a bit heavy on the mayo for my liking"
7,817,3,"Fine for what it is, portion size felt a bit small though."
8,804,3,"average overall, wouldn't be upset to order again or skip it"
9,1115,5,This is hands down the best toastie place near Utrecht Centraal.
10,1193,4,Wasn't expecting much but this was surprisingly excellent.
11,82,2,"Superb quality and taste, easily worth every penny."
12,168,2,"Not great value, portion felt small for the price."
13,1165,3,"the vegan chili jaffle was mediocre, bread a bit soft in places"
14,284,3,"okay, did what I needed it to do for a quick lunch"
15,867,3,"The order itself was okay in the end, delivery took a fair bit longer than I expected which had me checking the app a few times, but once it actually arrived the food itself was perfectly fine, nothing to complain about really."
16,1172,3,"average ham & cheese jaffle, wouldn't go out of my way for it again"
17,1131,1,"the apple cinnamon jaffle tasted awful, definitely won't order again"
18,420,5,"excellent, fresh, and generous portions too"
19,697,4,"Loved the flavour, portion was a little smaller then I hoped."
20,860,1,"the food was stale and cold, an awful experience"
21,1409,1,"Yeah great, stone cold on arrival, as usual."
22,317,4,"great taste, wish the app made customising the order a bit easier"
23,1243,2,"Not great value, portion felt small for the price."
24,260,1,"the food arrived cold, soggy, and honestly disgusting"
25,996,3,"It was alright, might try a different item next time."
26,272,2,disappointing portion size for what I paid
27,807,1,"Awful service and even worse food, huge disappointment."
28,1360,3,"Okay meal, price and quality felt roughly balanced."
29,181,3,Not bad but not something I'd rave about to friends.
30,747,3,"Fine for what it is, portion size felt a bit small though."
31,1305,4,"Wasn't exactly the fastest delivery I've ever had, ended up waiting a fair bit longer than the app first quoted, but honestly the food more than made up for it once it actually arrived, worth the extra wait if I'm being fair about it."
32,1482,3,"Average delivery experience overall, food arrived warm enough."
33,985,2,"disappointing overall, expected more from the reviews"
34,1451,3,"Great flavour on the pulled jackfruit jaffle, but the portion was noticeably smaller than usual."
35,1017,2,"Below average experience, food just wasnt that good."
36,584,2,"Not going to lie, wasn't a great experience this time, the cheese & tomato jaffle arrived lukewarm rather than hot and the flavour was honestly pretty bland compared to what I remember from last time, probably won't be first choice again soon."
37,600,5,Delivery guy was lovely and the food arrived piping hot.
38,1336,1,"the vegan chili jaffle was completely ruined, awful all round"
39,393,2,"the pulled jackfruit jaffle was greasy and a bit overwhelming, not in a good way"
40,1179,3,"average only, maybe order again if nothing else is open, not sure"
41,943,2,"Wonderful meal, arrived hot and fresh, couldn't ask for more."
42,171,2,"underwhelmed, delivery driver couldn't find the address either"
43,841,4,"the banana nutella jaffle hit the spot, portion could be slightly bigger for the price"
44,508,3,"Not amazing, not terrible, a perfectly average order."
45,1059,4,"Worst delivery experience ever, missing items and terrible taste."
46,1070,3,"the cheese & tomato jaffle was okay, taste was fine but a bit forgettable"
47,1390,1,"the cheese & tomato jaffle is not good to eat, go straight in the bin"
48,845,1,"worst order yet, cold, late, and just bad quality"
49,1329,5,"cant complain one bit, this was excellent"
50,577,2,"expected better honestly, filling was sparse and cold"
51,426,1,"the cheese & tomato jaffle was burnt and tasted awful, refund please"
52,196,4,"Enjoyed this a lot, minor gripe about the sauce being a bit sparse."
53,1408,4,"Tasty and well portioned, wish it had come with cutlery."
54,1190,1,"Terrible, honestly regret ordering from here at all."
55,287,1,"horrible experience start to finish, avoid this place"
56,1135,5,"the toastie is very crispy outside and gooey inside, exactly how I like this"
